Date,Open,High,Low,Close
4-February-2019,36456.22,36622.77,36225.48,36582.74
5-February-2019,36573.04,36727.83,36495.83,36616.81
6-February-2019,36714.54,37005.25,36680.88,36975.23
7-February-2019,37026.56,37172.18,36898.8,36971.09
8-February-2019,36873.59,36885.58,36480.62,36546.48
11-February-2019,36585.5,36588.41,36300.48,36395.03
12-February-2019,36405.72,36465.4,36113.91,36153.62
13-February-2019,36279.63,36375.8,35962.68,36034.11
14-February-2019,36065.08,36109.1,35799.42,35876.22
15-February-2019,35985.68,36022.57,35510.97,35808.95
18-February-2019,35831.18,35912.44,35470.76,35498.44
19-February-2019,35543.24,35776.04,35287.16,35352.61
20-February-2019,35564.93,35797.11,35469.49,35756.26
21-February-2019,35837,35983.07,35707.29,35898.35
22-February-2019,35906.01,35941.69,35795.79,35871.48
25-February-2019,35983.8,36242.18,35901.06,36213.38
26-February-2019,35975.75,36172.52,35714.16,35973.71
27-February-2019,36138.83,36371.11,35735.33,35905.43
28-February-2019,36025.72,36085.85,35829.15,35867.44
1-March-2019,36018.49,36140.67,35952.41,36063.81
5-March-2019,36141.07,36457.44,35926.94,36442.54
6-March-2019,36544.86,36666.47,36456.82,36636.1
7-March-2019,36744.02,36830.25,36590.88,36725.42
8-March-2019,36753.59,36753.59,36592.93,36671.43
11-March-2019,36741.57,37106.19,36726.39,37054.1
12-March-2019,37249.65,37586.63,37230.85,37535.66
13-March-2019,37608.29,37797.29,37478.87,37752.17
14-March-2019,37840.64,37907.78,37693.69,37754.89
15-March-2019,37760.23,38254.77,37760.23,38024.32
18-March-2019,38132.96,38369.59,37952.1,38095.07
19-March-2019,38218.59,38396.06,38078.23,38363.47
20-March-2019,38433.86,38489.81,38316.21,38386.75
22-March-2019,38452.47,38564.71,38089.36,38164.61
25-March-2019,38016.76,38016.76,37667.4,37808.91
26-March-2019,37886.29,38297.7,37800.08,38233.41
27-March-2019,38372.03,38475.93,38001.34,38132.88
28-March-2019,38208.3,38593.65,38148.44,38545.72
29-March-2019,38675,38748.54,38546.68,38672.91
1-April-2019,38858.88,39115.57,38808.74,38871.87
2-April-2019,38988.57,39121.69,38846.96,39056.65
3-April-2019,39167.05,39270.14,38826.56,38877.12
4-April-2019,38935.75,38939.35,38581.04,38684.72
5-April-2019,38839.52,38958.6,38701.04,38862.23
8-April-2019,38993.6,39041.25,38520.96,38700.53
9-April-2019,38730.93,38978.99,38598.72,38939.22
10-April-2019,38898.6,38950.45,38542.28,38585.35
11-April-2019,38621.58,38649.98,38460.25,38607.01
12-April-2019,38692.06,38818.87,38554.79,38767.11
15-April-2019,38805.54,38976.58,38780.08,38905.84
16-April-2019,39040.3,39364.34,39038.81,39275.64
18-April-2019,39420.04,39487.45,39083.16,39140.28
22-April-2019,39158.22,39158.22,38585.65,38645.18
23-April-2019,38771.27,38832.61,38518.26,38564.88
24-April-2019,38672.63,39095.35,38571,39054.68
25-April-2019,39101.78,39262.22,38663.98,38730.86
26-April-2019,38865.83,39103.16,38765.33,39067.33
30-April-2019,39056.92,39105.88,38753.46,39031.55
2-May-2019,39036.51,39189.95,38882.99,38981.43
3-May-2019,39009.55,39172.76,38920.17,38963.26
6-May-2019,38719.33,38719.33,38509.79,38600.34
7-May-2019,38815.46,38835.54,38236.18,38276.63
8-May-2019,38244.18,38248.57,37743.07,37789.13
9-May-2019,37747.91,37780.46,37405.4,37558.91
10-May-2019,37632.36,37721.98,37370.39,37462.99
13-May-2019,37491.3,37583.57,36999.84,37090.82
14-May-2019,37146.58,37572.7,36956.1,37318.53
15-May-2019,37539.05,37559.67,37047.87,37114.88
16-May-2019,37179.13,37518.94,37052.3,37393.48
17-May-2019,37494.42,38001.13,37415.36,37930.77
20-May-2019,38701.18,39412.56,38570.04,39352.67
21-May-2019,39449.45,39571.73,38884.85,38969.8
22-May-2019,39086.21,39249.08,38903.87,39110.21
23-May-2019,39591.77,40124.96,38651.61,38811.39
24-May-2019,39076.28,39476.97,38824.26,39434.72
27-May-2019,39536.23,39821.94,39353.16,39683.29
28-May-2019,39765.64,39828.65,39498.65,39749.73
29-May-2019,39714.27,39767.93,39420.5,39502.05
30-May-2019,39580.28,39911.92,39500.56,39831.97
31-May-2019,39998.91,40122.34,39374.24,39714.2
3-June-2019,39806.86,40308.9,39711.02,40267.62
4-June-2019,40196,40312.07,40031.05,40083.54
6-June-2019,40136.43,40159.26,39481.15,39529.72
7-June-2019,39581.77,39703.1,39279.47,39615.9
10-June-2019,39787.33,39979.48,39619.97,39784.52
11-June-2019,39900.45,40066.31,39760.02,39950.46
12-June-2019,39974.18,39982.1,39623.53,39756.81
13-June-2019,39679.35,39800.81,39461.27,39741.36
14-June-2019,39797,39799.9,39363.45,39452.07
17-June-2019,39514.36,39540.42,38911.49,38960.79
18-June-2019,39056.98,39167.83,38870.96,39046.34
19-June-2019,39176.56,39435.8,38881.05,39112.74
20-June-2019,39042.96,39638.64,38933.78,39601.63
21-June-2019,39608.25,39617.95,39121.3,39194.49
24-June-2019,39160.23,39300.02,39021.7,39122.96
25-June-2019,39131.94,39490.64,38946.04,39434.94
26-June-2019,39379.13,39674.22,39319.64,39592.08
27-June-2019,39633.97,39817.22,39510.44,39586.41
28-June-2019,39630.52,39675.25,39361.92,39394.64
1-July-2019,39543.73,39764.82,39541.09,39686.5
2-July-2019,39811.68,39838.49,39499.19,39816.48
3-July-2019,39907.57,39934.99,39732.38,39839.25
4-July-2019,39917.65,39979.1,39858.33,39908.06
5-July-2019,39990.4,40032.41,39441.38,39513.39
8-July-2019,39476.38,39476.38,38605.48,38720.57
9-July-2019,38754.47,38814.23,38435.87,38730.82
10-July-2019,38701.99,38854.85,38474.66,38557.04
11-July-2019,38751.62,38892.5,38631.31,38823.11
12-July-2019,38941.1,39021.84,38684.85,38736.23
15-July-2019,39009.95,39023.97,38696.6,38896.71
16-July-2019,38961.86,39173.89,38845.27,39131.04
17-July-2019,39171.1,39284.73,39081.14,39215.64
18-July-2019,39204.47,39204.47,38861.25,38897.46
19-July-2019,39058.73,39058.73,38271.35,38337.01
22-July-2019,38333.52,38333.52,37890.32,38031.13
23-July-2019,38138.56,38217.81,37898.9,37982.74
24-July-2019,37990.23,38102.84,37708.41,37847.65
25-July-2019,37935.02,38169.87,37775.51,37830.98
26-July-2019,37831.18,37978.07,37690.47,37882.79
29-July-2019,38043.22,38043.22,37519.16,37686.37
30-July-2019,37735.54,37950.21,37359.03,37397.24
31-July-2019,37257.55,37576.37,37128.26,37481.12
1-August-2019,37387.18,37387.18,36694.18,37018.32
2-August-2019,36920.11,37375.16,36607.41,37118.22
5-August-2019,36842.17,36844.05,36416.79,36699.84
6-August-2019,36568.03,37241.77,36536.59,36976.85
7-August-2019,37025.27,37104.79,36610.57,36690.5
8-August-2019,36808.01,37405.48,36655.41,37327.36
9-August-2019,37521.3,37807.55,37406.26,37581.91
13-August-2019,37755.16,37755.16,36888.49,36958.16
14-August-2019,37233.5,37473.61,37000.77,37311.53
16-August-2019,37383,37444.45,36974.41,37350.33
19-August-2019,37485.92,37718.88,37358.49,37402.49
20-August-2019,37441.75,37511.55,37219.9,37328.01
21-August-2019,37298.73,37406.55,37022.52,37060.37
22-August-2019,37087.58,37087.58,36391.35,36472.93
23-August-2019,36387.68,36807.34,36102.35,36701.16
26-August-2019,37363.95,37544.48,36492.65,37494.12
27-August-2019,37658.48,37731.51,37449.69,37641.27
28-August-2019,37655.77,37687.82,37249.19,37451.84
29-August-2019,37381.8,37381.8,36987.35,37068.93
30-August-2019,37222.26,37397.97,36829.81,37332.79
3-September-2019,37181.76,37188.38,36466.01,36562.91
4-September-2019,36575.24,36776.31,36409.54,36724.74
5-September-2019,36821.71,36898.99,36541.88,36644.42
6-September-2019,36785.59,37012.98,36727.66,36981.77
9-September-2019,36969.48,37244.08,36784.47,37145.45
11-September-2019,37251.03,37343.46,37193.57,37270.82
12-September-2019,37330.47,37435.15,37048.67,37104.28
13-September-2019,37175.86,37413.5,37000.09,37384.99
16-September-2019,37204.56,37302.06,37028.94,37123.31
17-September-2019,37169.46,37169.56,36419.09,36481.09
18-September-2019,36621.38,36712.99,36465.92,36563.88
19-September-2019,36613.93,36613.93,35987.8,36093.47
20-September-2019,36214.92,38378.02,36085.74,38014.62
23-September-2019,38844,39441.12,38674.04,39090.03
24-September-2019,39135.28,39306.37,38913.06,39097.14
25-September-2019,39087.2,39087.2,38510.97,38593.52
26-September-2019,38700.48,39158.07,38676.11,38989.74
27-September-2019,39003.13,39107.37,38782.6,38822.57
30-September-2019,38873.12,38873.12,38401.09,38667.33
1-October-2019,38813.48,38923.78,37929.89,38305.41
3-October-2019,38137.87,38310.93,37957.56,38106.87
4-October-2019,38401.49,38403.54,37633.36,37673.31
7-October-2019,37853.8,37919.47,37480.53,37531.98
9-October-2019,37628.05,38209.84,37415.83,38177.95
10-October-2019,38130.23,38130.23,37802.93,37880.4
11-October-2019,37994.48,38345.41,37737.85,38127.08
14-October-2019,38208.24,38513.69,38066.13,38214.47
15-October-2019,38316.49,38635.19,38238.27,38506.09
16-October-2019,38637.05,38666.38,38416.67,38598.99
17-October-2019,38647.44,39104.69,38557.43,39052.06
18-October-2019,39087.83,39361.06,38963.6,39298.38
22-October-2019,39233.4,39426.47,38924.85,38963.84
23-October-2019,39063.84,39196.67,38866.08,39058.83
24-October-2019,39223.01,39327.15,38840.76,39020.39
25-October-2019,39201.67,39241.61,38718.27,39058.06
27-October-2019,39397.37,39402.23,39180.39,39250.2
29-October-2019,39293.49,39917.01,39254.12,39831.84
30-October-2019,40055.63,40178.12,39805.11,40051.87
31-October-2019,40211.99,40392.22,40054.89,40129.05
1-November-2019,40196.07,40283.3,40014.23,40165.03
4-November-2019,40293.85,40483.21,40186.29,40301.96
5-November-2019,40445.67,40466.55,40053.55,40248.23
6-November-2019,40311.85,40606.91,40037.53,40469.78
7-November-2019,40625.64,40688.27,40421.07,40653.74
8-November-2019,40630.56,40749.33,40263.94,40323.61
11-November-2019,40316.5,40417.44,40150.97,40345.08
13-November-2019,40346.43,40447.17,40061.23,40116.06
14-November-2019,40178.93,40348.61,40026.99,40286.48
15-November-2019,40408.2,40650.06,40308.09,40356.69
18-November-2019,40431.08,40542.4,40221.97,40284.19
19-November-2019,40455.36,40544.13,40290.21,40469.7
20-November-2019,40729.8,40816.38,40575.96,40651.64
21-November-2019,40737.31,40744.85,40534.12,40575.17
22-November-2019,40653.17,40653.17,40276.83,40359.41
25-November-2019,40439.66,40931.71,40393.9,40889.23
26-November-2019,41022.85,41120.28,40710.2,40821.3
27-November-2019,40979.39,41075.76,40848.7,41020.61
28-November-2019,41161.54,41163.79,40996.08,41130.17
29-November-2019,41138.26,41143.22,40664.18,40793.81
2-December-2019,41072.94,41093.99,40707.63,40802.17
3-December-2019,40852.61,40885.03,40554.04,40675.45
4-December-2019,40606.01,40886.87,40475.83,40850.29
5-December-2019,40988.14,41002.41,40720.17,40779.59
6-December-2019,40952.13,40952.13,40337.53,40445.15
9-December-2019,40527.24,40645.63,40336.56,40487.43
10-December-2019,40588.81,40588.81,40208.7,40239.88
11-December-2019,40285.2,40466.13,40135.37,40412.57
12-December-2019,40561.34,40712.65,40490.69,40581.71
13-December-2019,40754.82,41055.8,40736.7,41009.71
16-December-2019,41168.85,41185.03,40917.93,40938.72
17-December-2019,41052.36,41401.65,41005.18,41352.17
18-December-2019,41442.75,41614.77,41358.47,41558.57
19-December-2019,41571.82,41719.29,41456.4,41673.92
20-December-2019,41746.2,41809.96,41636.11,41681.54
23-December-2019,41548.26,41701.62,41474.61,41642.66
24-December-2019,41684.51,41702.98,41423.07,41461.26
26-December-2019,41543.8,41543.8,41132.89,41163.76
27-December-2019,41297.08,41611.27,41264.92,41575.14
30-December-2019,41686.27,41714.73,41453.38,41558
31-December-2019,41607.49,41607.49,41184.73,41253.74
1-January-2020,41349.36,41443.52,41251.18,41306.02
2-January-2020,41340.27,41649.29,41328.45,41626.64
3-January-2020,41634.51,41636.18,41348.68,41464.61
6-January-2020,41378.34,41378.34,40613.96,40676.63
7-January-2020,40983.04,41230.14,40727.37,40869.47
8-January-2020,40574.83,40866.36,40476.55,40817.74
9-January-2020,41216.67,41482.12,41175.72,41452.35
10-January-2020,41568.2,41775.11,41447.8,41599.72
13-January-2020,41788.21,41899.63,41720.76,41859.69
14-January-2020,41883.09,41994.26,41770.9,41952.63
15-January-2020,41969.86,41969.86,41648.11,41872.73
16-January-2020,41924.74,42059.45,41812.28,41932.56
17-January-2020,41929.02,42063.93,41850.29,41945.37
20-January-2020,42263,42273.87,41503.37,41528.91
21-January-2020,41487.57,41532.59,41294.3,41323.81
22-January-2020,41467.13,41532.29,41059.04,41115.38
23-January-2020,41191.5,41413.96,41098.91,41386.4
24-January-2020,41377.04,41697.03,41275.6,41613.19
27-January-2020,41510.68,41516.27,41122.48,41155.12
28-January-2020,41299.68,41333.25,40869.75,40966.86
29-January-2020,41131.57,41334.86,41108.19,41198.66
30-January-2020,41380.14,41380.14,40829.91,40913.82
31-January-2020,41146.56,41154.49,40671.01,40723.49
1-February-2020,40753.18,40905.78,39631.24,39735.53
3-February-2020,39701.02,40014.9,39563.07,39872.31
4-February-2020,40178.74,40818.94,40117.46,40789.38
5-February-2020,40921.71,41177,40703.32,41142.66
6-February-2020,41209.13,41405.43,41113.11,41306.03
7-February-2020,41394.41,41394.41,41073.36,41141.85
10-February-2020,41166.72,41172.06,40798.98,40979.62
11-February-2020,41183.39,41444.34,41179.14,41216.14
12-February-2020,41330.85,41671.86,41330.85,41565.9
13-February-2020,41707.21,41709.3,41338.31,41459.79
14-February-2020,41510.19,41702.36,41183.13,41257.74
17-February-2020,41324.04,41420.34,41030.58,41055.69
18-February-2020,41042.46,41042.46,40610.95,40894.38
19-February-2020,41121.51,41357.16,41048.93,41323
20-February-2020,41334.96,41399.93,41134.31,41170.12
24-February-2020,41037.01,41037.01,40306.36,40363.23
25-February-2020,40497.72,40536,40220.59,40281.2
26-February-2020,40194.89,40255.39,39760.39,39888.96
27-February-2020,39947.8,39947.8,39423.27,39745.66
28-February-2020,39087.47,39087.47,38219.97,38297.29
2-March-2020,38910.95,39083.17,37785.99,38144.02
3-March-2020,38480.89,38754.24,38142.3,38623.7
4-March-2020,38715.72,38791.7,37846.1,38409.48
5-March-2020,38604.25,38887.8,38386.68,38470.61
6-March-2020,37613.96,37747.07,37011.09,37576.62
9-March-2020,36950.2,36950.2,35109.18,35634.95
11-March-2020,35468.9,36021.51,35261.92,35697.4
12-March-2020,34472.5,34472.5,32493.1,32778.14
13-March-2020,31214.13,34769.48,29388.97,34103.48
16-March-2020,33103.24,33103.24,31276.3,31390.07
17-March-2020,31611.57,32047.98,30394.94,30579.09
18-March-2020,30968.84,31101.77,28613.05,28869.51
19-March-2020,27773.36,29370.53,26714.46,28288.23
20-March-2020,28460.82,30418.2,27932.67,29915.96
23-March-2020,27608.8,27900.83,25880.83,25981.24
24-March-2020,27056.23,27462.87,25638.9,26674.03
25-March-2020,26499.81,28790.19,26359.91,28535.78
26-March-2020,29073.71,30099.91,28566.34,29946.77
27-March-2020,30747.81,31126.03,29346.99,29815.59
30-March-2020,29226.55,29497.57,28290.99,28440.32
31-March-2020,29294.94,29770.88,28667.36,29468.49
1-April-2020,29505.33,29505.98,28073.43,28265.31
3-April-2020,28623.53,28639.12,27500.79,27590.95
7-April-2020,28898.36,30157.65,28602.31,30067.21
8-April-2020,29701.92,31227.97,29602.94,29893.96
9-April-2020,30571.19,31225.2,30420.22,31159.62
13-April-2020,31195.72,31195.72,30474.15,30690.02
15-April-2020,31277.11,31568.36,30222.07,30379.81
16-April-2020,30095.51,30800.2,30016.17,30602.61
17-April-2020,31656.68,31718.73,30960.94,31588.72
20-April-2020,32056.19,32056.47,31490.26,31648
21-April-2020,30836.19,30900.12,30378.26,30636.71
22-April-2020,30856.14,31471.14,30578.55,31379.55
23-April-2020,31646.45,31959.02,31292.92,31863.08
24-April-2020,31426.62,31842.24,31278.27,31327.22
27-April-2020,31659.04,32103.7,31651.58,31743.08
28-April-2020,32101.91,32199.91,31661.34,32114.52
29-April-2020,32311.04,32897.59,32171.65,32720.16
30-April-2020,33381.19,33887.25,33354.93,33717.62
4-May-2020,32748.14,32748.14,31632.02,31715.35
5-May-2020,32182.9,32264,31403.57,31453.51
6-May-2020,31577.63,31970.84,31158.75,31685.75
7-May-2020,31677.69,31705.25,31362.87,31443.38
8-May-2020,32083.32,32088.51,31598,31642.7
11-May-2020,32030.34,32301.58,31500.87,31561.22
12-May-2020,31342.93,31536.89,30844.66,31371.12
13-May-2020,32841.87,32845.48,31901.92,32008.61
14-May-2020,31466.33,31630.94,31052.65,31122.89
15-May-2020,31296.28,31296.28,30770.48,31097.73
18-May-2020,31248.26,31248.26,29968.45,30028.98
19-May-2020,30450.74,30739.96,30116.82,30196.17
20-May-2020,30159.59,30878.31,30157.75,30818.61
21-May-2020,30904.29,31188.79,30765.32,30932.9
22-May-2020,30822.78,31107.91,30474.88,30672.59
26-May-2020,30864.27,31086.7,30512.14,30609.3
27-May-2020,30793.11,31660.6,30525.68,31605.22
28-May-2020,31827.8,32267.23,31641.77,32200.59
29-May-2020,32041.29,32480.52,31823.8,32424.1
1-June-2020,32906.05,33673.83,32876.55,33303.52
2-June-2020,33450.19,33866.63,33301.29,33825.53
3-June-2020,34185.41,34488.69,34027.5,34109.54
4-June-2020,34072.5,34310.14,33711.24,33980.7
5-June-2020,34198.55,34405.43,33958.02,34287.24
8-June-2020,34841.17,34927.8,34211.83,34370.58
9-June-2020,34520.79,34811.29,33881.19,33956.69
10-June-2020,34029.14,34350.17,33949.46,34247.05
11-June-2020,34214.69,34219.39,33480.42,33538.37
12-June-2020,32436.69,33856.27,32348.1,33780.89
15-June-2020,33670.55,33670.55,32923.74,33228.8
16-June-2020,33853.72,34022.01,32953.3,33605.22
17-June-2020,33438.31,33933.66,33332.96,33507.92
18-June-2020,33371.52,34276.01,33371.52,34208.05
19-June-2020,34335.38,34848.37,34136.39,34731.73
22-June-2020,34892.03,35213.52,34794.4,34911.32
23-June-2020,35015.73,35482.16,34843.69,35430.43
24-June-2020,35679.74,35706.55,34794.93,34868.98
25-June-2020,34525.39,35081.61,34499.78,34842.1
26-June-2020,35144.78,35254.88,34910.34,35171.27
29-June-2020,34926.95,35032.36,34662.06,34961.52
30-June-2020,35168.3,35233.91,34812.8,34915.8
1-July-2020,35009.59,35467.23,34927.2,35414.45
2-July-2020,35604,36014.92,35595.36,35843.7
3-July-2020,36025.38,36110.21,35872.38,36021.42
6-July-2020,36313.46,36661.66,36254.02,36487.28
7-July-2020,36660.35,36723.27,36271.09,36674.52
8-July-2020,36738.38,36828.43,36234.17,36329.01
9-July-2020,36450.69,36806.3,36422.3,36737.69
10-July-2020,36555.13,36748.89,36401.11,36594.33
13-July-2020,36880.66,37024.2,36533.96,36693.69
14-July-2020,36517.28,36538.1,35877.42,36033.06
15-July-2020,36314.76,36810.25,35894.96,36051.81
16-July-2020,36401.2,36524.62,36038.41,36471.68
17-July-2020,36547.75,37125.98,36512.92,37020.14
20-July-2020,37409.03,37478.87,37185.78,37418.99
21-July-2020,37823.61,37990.55,37742.05,37930.33
22-July-2020,38178.07,38199.27,37601.62,37871.52
23-July-2020,37814.92,38225.03,37738.59,38140.47
24-July-2020,37949.59,38235.73,37748.41,38128.9
27-July-2020,38275.34,38275.34,37769.44,37934.73
28-July-2020,38052.18,38554.72,37998.13,38492.95
29-July-2020,38427.15,38617.03,37884.41,38071.13
30-July-2020,38262.83,38413.81,37678.42,37736.07
31-July-2020,37847.88,37897.78,37431.68,37606.89
3-August-2020,37595.73,37596.02,36911.23,36939.6
4-August-2020,37092.86,37745.6,36987.73,37687.91
5-August-2020,37892.36,38139.96,37550.6,37663.33
6-August-2020,37946.8,38221.4,37755.1,38025.45
7-August-2020,37951.07,38109.68,37787.38,38040.57
10-August-2020,38168.42,38430.69,38073.29,38182.08
11-August-2020,38371.34,38556.27,38313.06,38407.01
12-August-2020,38321.13,38414.37,38125.81,38369.63
13-August-2020,38456.64,38516.85,38215.05,38310.49
14-August-2020,38432.94,38540.57,37654.92,37877.34
17-August-2020,38062.07,38119.38,37734.14,38050.78
18-August-2020,38084.7,38571.23,38062.01,38528.32
19-August-2020,38727.89,38788.51,38550.65,38614.79
20-August-2020,38283.9,38402.45,38155.78,38220.39
21-August-2020,38471.93,38579.83,38411.37,38434.72
24-August-2020,38566.96,38894.94,38545.76,38799.08
25-August-2020,38948.46,39008.89,38679.67,38843.88
26-August-2020,38930.18,39111.55,38765.09,39073.92
27-August-2020,39293.53,39326.98,39046.94,39113.47
28-August-2020,39264.48,39579.58,39235.03,39467.31
31-August-2020,39888.15,40010.17,38395.89,38628.29
1-September-2020,38754,39226.82,38542.11,38900.8
2-September-2020,38892.64,39141.84,38736.22,39086.03
3-September-2020,39165.8,39236.36,38943.43,38990.94
4-September-2020,38325,38729.66,38249.77,38357.18
7-September-2020,38284.78,38519.92,38060.74,38417.23
8-September-2020,38498.07,38746.48,38275.45,38365.35
9-September-2020,37988.56,38252.67,37935.26,38193.92
10-September-2020,38516.88,38878.25,38367.07,38840.32
11-September-2020,38865.17,38978.52,38711.8,38854.55
14-September-2020,39073.51,39230.16,38573.17,38756.63
15-September-2020,38904.67,39102.25,38753.68,39044.35
16-September-2020,39161.01,39359.51,39037.96,39302.85
17-September-2020,39120.64,39234.81,38926.34,38979.85
18-September-2020,39200.42,39200.42,38635.73,38845.82
21-September-2020,38812.69,38990.76,37938.53,38034.14
22-September-2020,38200.71,38209.97,37531.14,37734.08
23-September-2020,38124.94,38140.07,37313.09,37668.42
24-September-2020,37282.18,37304.26,36495.98,36553.6
25-September-2020,36991.89,37471.17,36730.52,37388.66
28-September-2020,37756.25,38035.87,37544.05,37981.63
29-September-2020,38176.86,38235.94,37831.35,37973.22
30-September-2020,38068.89,38236.34,37828.11,38067.93
1-October-2020,38410.2,38738.89,38410.2,38697.05
5-October-2020,38956.78,39263.85,38819.89,38973.7
6-October-2020,39336.34,39623.76,39191.1,39574.57
7-October-2020,39633.19,39968.04,39450.82,39878.95
8-October-2020,40204.32,40468.88,40062.23,40182.67
9-October-2020,40226.25,40585.36,40066.54,40509.49
12-October-2020,40716.95,40905.49,40387.4,40593.8
13-October-2020,40592.54,40786.82,40461.97,40625.51
14-October-2020,40623.19,40880.25,40279.55,40794.74
15-October-2020,41048.05,41048.05,39667.47,39728.41
16-October-2020,39936.61,40125.71,39699.42,39982.98
19-October-2020,40318.57,40519.48,40211.22,40431.6
20-October-2020,40420.29,40732.01,40305.59,40544.37
21-October-2020,40767.14,40976.02,40150.48,40707.31
22-October-2020,40531.31,40721.57,40309.05,40558.49
23-October-2020,40728.39,40811.12,40590.9,40685.5
26-October-2020,40649.76,40724.4,39948.29,40145.5
27-October-2020,40199.08,40555.6,39978.39,40522.1
28-October-2020,40664.35,40664.35,39774.6,39922.46
29-October-2020,39537.17,40010.83,39524.25,39749.85
30-October-2020,39779.82,39988.25,39241.87,39614.07
2-November-2020,39880.38,39968.03,39334.92,39757.58
3-November-2020,39990.75,40354.73,39952.79,40261.13
4-November-2020,40171.71,40693.51,40076.47,40616.14
5-November-2020,41112.12,41370.91,41030.17,41340.16
6-November-2020,41438.76,41954.93,41383.29,41893.06
9-November-2020,42273.97,42645.33,42263.64,42597.43
10-November-2020,42959.25,43316.44,42660.09,43277.65
11-November-2020,43444.06,43708.47,42970.21,43593.67
12-November-2020,43291.89,43543.96,43127.55,43357.19
13-November-2020,43298.92,43522.25,43053.37,43443
14-November-2020,43815.45,43830.93,43535.77,43637.98
17-November-2020,44095.85,44161.16,43699.22,43952.71
18-November-2020,43978.58,44215.49,43785.78,44180.05
19-November-2020,43902.24,44230,43518.11,43599.96
20-November-2020,43732.14,44013.02,43453.75,43882.25
23-November-2020,44164.17,44271.15,43747.22,44077.15
24-November-2020,44341.19,44601.63,44247.12,44523.02
25-November-2020,44749.73,44825.37,43757.97,43828.1
26-November-2020,43967.59,44361.78,43582.4,44259.74
27-November-2020,44325.03,44407.28,43995.41,44149.72
1-December-2020,44435.83,44730.79,44118.1,44655.44
2-December-2020,44729.52,44729.64,44169.97,44618.04
3-December-2020,44902.02,44953.01,44551.42,44632.65
4-December-2020,44665.91,45148.28,44665.91,45079.55
7-December-2020,45099.92,45458.92,45024.47,45426.97
8-December-2020,45568.8,45742.23,45335.17,45608.51
9-December-2020,45891.04,46164.1,45792.01,46103.5
10-December-2020,45999.42,46043.97,45685.87,45959.88
11-December-2020,46060.32,46309.63,45706.22,46099.01
14-December-2020,46284.7,46373.34,45951.53,46253.46
15-December-2020,46287.39,46350.3,45841.67,46263.17
16-December-2020,46573.31,46704.97,46402.2,46666.46
17-December-2020,46774.32,46992.57,46627.6,46890.34
18-December-2020,47026.02,47026.02,46630.31,46960.69
21-December-2020,46932.18,47055.69,44923.08,45553.96
22-December-2020,45529.61,46080.18,45112.19,46006.69
23-December-2020,46072.3,46513.32,45899.1,46444.18
24-December-2020,46743.49,47053.4,46539.02,46973.54
28-December-2020,47153.59,47406.72,47148.24,47353.75
29-December-2020,47466.62,47714.55,47361.9,47613.08
30-December-2020,47789.03,47807.85,47358.36,47746.22
31-December-2020,47753.11,47896.97,47602.12,47751.33
1-January-2021,47785.28,47980.36,47771.15,47868.98
4-January-2021,48109.17,48220.47,47594.47,48176.8
5-January-2021,48037.63,48486.24,47903.38,48437.78
6-January-2021,48616.66,48616.66,47864.14,48174.06
7-January-2021,48524.36,48558.34,48037.87,48093.32
8-January-2021,48464.91,48854.34,48365.58,48782.51
11-January-2021,49252.31,49303.79,48956.38,49269.32
12-January-2021,49228.26,49569.14,49079.57,49517.11
13-January-2021,49763.93,49795.19,49073.85,49492.32
14-January-2021,49432.83,49663.58,49182.37,49584.16
15-January-2021,49656.71,49656.71,48795.79,49034.67
18-January-2021,49061.22,49122.23,48403.97,48564.27
19-January-2021,48900.31,49499.86,48805.54,49398.29
20-January-2021,49508.79,49874.42,49373.68,49792.12
21-January-2021,50096.57,50184.01,49398.86,49624.76
22-January-2021,49594.95,49676.88,48832.08,48878.54
25-January-2021,49253.68,49263.15,48274.92,48347.59
27-January-2021,48385.28,48387.25,47269.6,47409.93
28-January-2021,46834.57,47172.02,46518.48,46874.36
29-January-2021,47423.47,47423.66,46160.46,46285.77
1-February-2021,46617.95,48764.4,46433.65,48600.61
2-February-2021,49193.26,50154.48,49193.26,49797.72
3-February-2021,50231.06,50526.39,49515.88,50255.75
4-February-2021,50212.25,50687.51,49926.45,50614.29
5-February-2021,51031.39,51073.27,50565.29,50731.63
8-February-2021,51146.67,51523.38,51146.67,51348.77
9-February-2021,51484.23,51835.86,51193.93,51329.08
10-February-2021,51355.89,51512.86,50846.22,51309.39
11-February-2021,51165.84,51592.45,51157.31,51531.52
12-February-2021,51614.77,51804.58,51260.62,51544.3
15-February-2021,51907.75,52235.97,51886.46,52154.13
16-February-2021,52400.03,52516.76,51863.61,52104.17
17-February-2021,51996.94,52078.15,51586.34,51703.83
18-February-2021,51903.96,51903.96,51186.68,51324.69
19-February-2021,51238.02,51432.99,50624.33,50889.76
22-February-2021,50910.51,50986.03,49617.37,49744.32
23-February-2021,49994.85,50327.31,49659.85,49751.41
24-February-2021,49763.94,50881.17,49648.78,50781.69
25-February-2021,51207.61,51386.12,50991.76,51039.31
26-February-2021,50256.71,50400.31,48890.48,49099.99
1-March-2021,49747.71,50058.42,49440.46,49849.84
2-March-2021,50258.09,50439.82,49807.12,50296.89
3-March-2021,50738.21,51539.89,50512.84,51444.65
4-March-2021,50812.14,51256.55,50539.92,50846.08
5-March-2021,50517.36,50886.19,50160.54,50405.32
8-March-2021,50654.02,50985.77,50318.26,50441.07
